CD,ENCLOSED,SMALL UNENCLOSED,UNENCLOSED,REGULAR UNENCLOSED/SMALL UNENCLOSED
101.0,1.0,2.0,48.0,1.0
102.0,12.0,12.0,190.0,3.0
103.0,6.0,3.0,69.0,2.0
104.0,4.0,4.0,85.0,2.0
105.0,1.0,29.0,31.0,1.0
106.0,10.0,8.0,46.0,2.0
107.0,18.0,3.0,119.0,1.0
108.0,26.0,30.0,96.0,0.0
109.0,1.0,1.0,31.0,0.0
110.0,0.0,1.0,24.0,0.0
111.0,0.0,0.0,2.0,0.0
112.0,2.0,0.0,22.0,0.0
201.0,0.0,0.0,0.0,0.0
202.0,0.0,0.0,0.0,0.0
204.0,1.0,0.0,0.0,0.0
205.0,0.0,0.0,1.0,0.0
206.0,0.0,0.0,7.0,0.0
207.0,0.0,0.0,1.0,0.0
208.0,1.0,0.0,7.0,0.0
210.0,2.0,0.0,5.0,0.0
211.0,0.0,0.0,2.0,0.0
212.0,0.0,0.0,1.0,0.0
301.0,1.0,2.0,82.0,0.0
302.0,4.0,0.0,34.0,0.0
303.0,0.0,1.0,5.0,0.0
304.0,0.0,1.0,9.0,0.0
305.0,0.0,0.0,0.0,0.0
306.0,1.0,0.0,28.0,0.0
307.0,0.0,0.0,4.0,0.0
308.0,0.0,0.0,16.0,0.0
309.0,0.0,0.0,2.0,0.0
310.0,4.0,0.0,10.0,0.0
311.0,1.0,0.0,0.0,0.0
312.0,1.0,0.0,1.0,0.0
313.0,0.0,0.0,2.0,0.0
314.0,1.0,0.0,1.0,0.0
315.0,1.0,0.0,8.0,0.0
316.0,0.0,0.0,0.0,0.0
317.0,0.0,0.0,1.0,0.0
318.0,1.0,0.0,1.0,0.0
401.0,10.0,1.0,87.0,0.0
402.0,0.0,2.0,24.0,1.0
403.0,2.0,0.0,2.0,0.0
404.0,1.0,0.0,1.0,0.0
405.0,2.0,0.0,0.0,0.0
406.0,1.0,0.0,11.0,0.0
407.0,0.0,0.0,0.0,0.0
408.0,1.0,0.0,1.0,0.0
409.0,0.0,0.0,1.0,0.0
410.0,0.0,0.0,0.0,0.0
411.0,0.0,0.0,0.0,0.0
412.0,0.0,0.0,1.0,0.0
413.0,0.0,0.0,0.0,0.0
414.0,0.0,0.0,1.0,0.0
501.0,0.0,0.0,0.0,0.0
502.0,0.0,0.0,0.0,0.0
503.0,0.0,0.0,0.0,0.0
203.0,0.0,0.0,0.0,0.0
209.0,1.0,0.0,0.0,0.0
999.0,118.0,100.0,1120.0,13.0
