CounDist,SIDEWALK,ROADWAY,BOTH
1.0,266.0,197.0,541.0
2.0,276.0,140.0,501.0
3.0,385.0,182.0,679.0
4.0,255.0,113.0,408.0
5.0,122.0,51.0,160.0
6.0,88.0,46.0,148.0
7.0,94.0,18.0,79.0
8.0,64.0,10.0,69.0
9.0,53.0,22.0,45.0
10.0,50.0,13.0,124.0
11.0,35.0,6.0,53.0
12.0,10.0,3.0,7.0
13.0,50.0,6.0,40.0
14.0,21.0,2.0,33.0
15.0,51.0,4.0,68.0
16.0,10.0,2.0,13.0
17.0,25.0,5.0,32.0
18.0,21.0,6.0,31.0
19.0,62.0,8.0,98.0
20.0,88.0,37.0,81.0
21.0,73.0,17.0,132.0
22.0,68.0,40.0,248.0
23.0,32.0,1.0,13.0
24.0,39.0,5.0,27.0
25.0,66.0,21.0,134.0
26.0,151.0,30.0,202.0
27.0,17.0,3.0,8.0
28.0,17.0,1.0,30.0
29.0,41.0,12.0,79.0
30.0,46.0,10.0,64.0
31.0,10.0,2.0,4.0
32.0,44.0,14.0,45.0
33.0,133.0,83.0,259.0
34.0,145.0,66.0,288.0
35.0,94.0,29.0,159.0
36.0,45.0,13.0,68.0
37.0,42.0,16.0,68.0
38.0,66.0,25.0,110.0
39.0,111.0,59.0,205.0
40.0,36.0,9.0,41.0
41.0,16.0,4.0,11.0
42.0,6.0,1.0,5.0
43.0,76.0,15.0,95.0
44.0,31.0,4.0,17.0
45.0,20.0,0.0,26.0
46.0,21.0,2.0,7.0
47.0,36.0,4.0,35.0
48.0,47.0,14.0,60.0
49.0,30.0,10.0,34.0
50.0,29.0,2.0,19.0
51.0,23.0,1.0,18.0
999.0,3637.0,1384.0,5721.0
