CD,SIDEWALK,ROADWAY,BOTH
101.0,115.0,50.0,146.0
102.0,254.0,173.0,489.0
103.0,205.0,141.0,469.0
104.0,165.0,75.0,294.0
105.0,256.0,106.0,446.0
106.0,146.0,55.0,188.0
107.0,113.0,56.0,172.0
108.0,159.0,80.0,248.0
109.0,54.0,9.0,49.0
110.0,50.0,22.0,39.0
111.0,45.0,10.0,45.0
112.0,65.0,13.0,133.0
201.0,30.0,2.0,27.0
202.0,13.0,2.0,16.0
204.0,18.0,3.0,31.0
205.0,17.0,1.0,20.0
206.0,30.0,4.0,59.0
207.0,25.0,1.0,31.0
208.0,16.0,6.0,31.0
210.0,41.0,5.0,32.0
211.0,24.0,3.0,19.0
212.0,14.0,2.0,15.0
301.0,154.0,106.0,324.0
302.0,99.0,31.0,159.0
303.0,42.0,15.0,61.0
304.0,63.0,26.0,123.0
305.0,11.0,2.0,24.0
306.0,112.0,57.0,205.0
307.0,56.0,26.0,100.0
308.0,60.0,19.0,101.0
309.0,18.0,3.0,21.0
310.0,66.0,13.0,96.0
311.0,55.0,4.0,34.0
312.0,21.0,7.0,24.0
313.0,18.0,4.0,7.0
314.0,40.0,6.0,42.0
315.0,45.0,12.0,59.0
316.0,6.0,1.0,2.0
317.0,13.0,2.0,26.0
318.0,22.0,3.0,12.0
401.0,107.0,43.0,300.0
402.0,112.0,25.0,150.0
403.0,85.0,26.0,162.0
404.0,55.0,14.0,108.0
405.0,66.0,17.0,91.0
406.0,34.0,12.0,67.0
407.0,106.0,41.0,119.0
408.0,32.0,4.0,25.0
409.0,24.0,4.0,46.0
410.0,37.0,1.0,32.0
411.0,54.0,4.0,59.0
412.0,29.0,6.0,16.0
413.0,27.0,1.0,13.0
414.0,10.0,10.0,9.0
501.0,35.0,10.0,34.0
502.0,27.0,2.0,19.0
503.0,20.0,1.0,18.0
203.0,2.0,0.0,5.0
209.0,19.0,7.0,27.0
999.0,3637.0,1384.0,5719.0
991.0,1627.0,790.0,2718.0
992.0,249.0,36.0,313.0
993.0,901.0,337.0,1420.0
994.0,778.0,208.0,1197.0
995.0,82.0,13.0,71.0
